1.25,14.49
2.32,0.48
3.41,1.19
4.64,10.04
5.71,18.25
6.93,17.18
8.02,32.07
9.23,16.19
10.27,40.05
11.44,19.34
12.45,33.97
13.56,45.21
14.77,45.64
15.78,39.76
16.94,40.3
18.07,51.66
19.08,41.15
20.27,56.47
21.3,45.85
22.54,47.99
23.67,65.97
24.83,78.98
26.05,74.99
27.11,66.24
28.18,65.18
29.34,80.92
30.42,72.06
31.48,99.76
32.64,76.38
33.71,80.16
34.75,95.67
35.88,87.8
37.13,101.87
38.27,113.03
39.41,103.62
40.5,108.85
41.51,115.13
42.64,122.32
43.73,105.88
44.84,134.88
